player_archetype_id,opponent_archetype_id,total,wins,win_rate_percent,avg_duration,status
starter_instrument,mental_controller,4,2,50,35.45,PASS
starter_instrument,elemental_mixer,4,2,50,35.7,PASS
starter_instrument,familiar_handler,4,1,25,31.2,REVIEW
starter_instrument,summoner,2,1,50,35.7,PASS
starter_instrument,defensive_occultist,5,2,40,33.5,PASS
starter_instrument,dot_pressure,7,2,28.57,33.63,REVIEW
starter_instrument,funeral_burst,28,3,10.71,31.74,REVIEW
mental_controller,starter_instrument,4,2,50,35.45,PASS
mental_controller,elemental_mixer,34,11,32.35,24.21,REVIEW
mental_controller,familiar_handler,22,11,50,26.36,PASS
mental_controller,summoner,40,10,25,23.84,REVIEW
mental_controller,defensive_occultist,31,2,6.45,33.86,REVIEW
mental_controller,dot_pressure,40,12,30,21.96,REVIEW
mental_controller,funeral_burst,42,10,23.81,22.74,REVIEW
elemental_mixer,starter_instrument,4,0,0,35.7,REVIEW
elemental_mixer,mental_controller,34,23,67.65,23.99,REVIEW
elemental_mixer,familiar_handler,54,21,38.89,25.59,PASS
elemental_mixer,summoner,37,16,43.24,22.48,PASS
elemental_mixer,defensive_occultist,28,12,42.86,31.81,PASS
elemental_mixer,dot_pressure,37,13,35.14,20.61,PASS
elemental_mixer,funeral_burst,112,35,31.25,25.84,REVIEW
familiar_handler,starter_instrument,4,4,100,31.2,CRITICAL
familiar_handler,mental_controller,22,17,77.27,26.25,CRITICAL
familiar_handler,elemental_mixer,54,36,66.67,25.44,REVIEW
familiar_handler,summoner,31,13,41.94,24.36,PASS
familiar_handler,defensive_occultist,28,12,42.86,31.72,PASS
familiar_handler,dot_pressure,28,8,28.57,22.97,REVIEW
familiar_handler,funeral_burst,70,47,67.14,22.14,REVIEW
summoner,starter_instrument,2,0,0,35.7,REVIEW
summoner,mental_controller,40,29,72.5,23.6,REVIEW
summoner,elemental_mixer,37,21,56.76,22.56,PASS
summoner,familiar_handler,31,17,54.84,24.36,PASS
summoner,defensive_occultist,51,23,45.1,31.51,PASS
summoner,dot_pressure,54,25,46.3,21.18,PASS
summoner,funeral_burst,36,23,63.89,20.77,PASS
defensive_occultist,starter_instrument,5,1,20,33.5,REVIEW
defensive_occultist,mental_controller,31,16,51.61,33.83,PASS
defensive_occultist,elemental_mixer,28,11,39.29,31.84,PASS
defensive_occultist,familiar_handler,28,7,25,31.72,REVIEW
defensive_occultist,summoner,51,8,15.69,31.62,REVIEW
defensive_occultist,dot_pressure,40,6,15,30.15,REVIEW
defensive_occultist,funeral_burst,40,13,32.5,33.4,REVIEW
dot_pressure,starter_instrument,7,5,71.43,33.63,REVIEW
dot_pressure,mental_controller,40,28,70,21.78,REVIEW
dot_pressure,elemental_mixer,37,23,62.16,20.55,PASS
dot_pressure,familiar_handler,28,19,67.86,22.72,REVIEW
dot_pressure,summoner,54,30,55.56,21.03,PASS
dot_pressure,defensive_occultist,40,28,70,29.95,REVIEW
dot_pressure,funeral_burst,53,25,47.17,19.76,PASS
funeral_burst,starter_instrument,28,26,92.86,31.74,CRITICAL
funeral_burst,mental_controller,42,35,83.33,22.34,CRITICAL
funeral_burst,elemental_mixer,112,78,69.64,25.79,REVIEW
funeral_burst,familiar_handler,70,28,40,22.04,PASS
funeral_burst,summoner,36,13,36.11,20.78,PASS
funeral_burst,defensive_occultist,40,13,32.5,32.89,REVIEW
funeral_burst,dot_pressure,53,30,56.6,19.79,PASS
